,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,T=80.1C,,,,,K(light)/K(heavy),,Average,,,Benzene,,,,,,From Aspen plus Simulation,,
,,,,,,,,,arithm.,geom,,xD,xB,xD/(1-xD),(1-xB)/xB,Nmin,,Minimum reflux ratio,1.02229191,
,,Component,F,X,Y,K,alpha(T1),,2.274525176,2.264555725,,0.9,0.1,9,9,5.376271412,,Actual reflux ratio,1.33854302,
,LIGHT,BENZENE,0.395816963,0.395816963,0.656387278,0.854743605,2.546320311,,,,,0.925,0.1,12.33333333,9,5.7617489,,Minimum number of stages,6.18777726,
,HEAVY,TOLUENE,0.479371908,0.479371908,0.312194536,0.335677959,,,,,,0.95,0.1,19,9,6.290430908,,Number of actual stages,12.3755545,
,,P-XYL-01,0.124811129,0.124811129,0.0314181862,0.129747174,,,,,,0.98,0.01,49,99,10.38312018,,Feed stage,6.92783945,
,,,,,,,,,,,,0.99,0.01,99,99,11.24355323,,Number of actual stages above feed,5.92783945,
,,T=110.6C,,,,,,,,,,0.999,0.001,999,999,16.89976921,,Reboiler heating required,32742.1502,cal/sec
,,,,,,,,,,,,0.9999,0.0001,9999,9999,22.53604501,,Condenser cooling required,21972.5295,cal/sec
,,Component,F,X,Y,K,alpha(T2),,,,,,,,,,,Distillate temperature,84.6716616,C
,,BENZENE,0.395816963,0.243128884,0.463396283,1.90597215,2.252561066,,,,,,,,,,,Bottom temperature,121.99538,C
,,TOLUENE,0.479371908,0.536605202,0.454040611,0.846135618,,,,,,,,,,,,Distillate to feed fraction,0.402136399,
,,P-XYL-01,0.124811129,0.220265913,0.0825631069,0.374832927,,,,,,,,,,,,HETP,,
,,,,,,,,,,,,,,,,,,,,
,,T=138.4C,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Component,F,X,Y,K,alpha(T3),,,,,,,,,,,,,
,,BENZENE,0.395816963,0.21032614,0.395816963,3.4280075,2.024694151,,,,,,,,,,,,,
,,TOLUENE,0.479371908,0.515740048,0.479371908,1.69309893,,,,,,,,,,,,,,
,,P-XYL-01,0.124811129,0.273933812,0.124811129,0.829943035,,,,,,,,,,,,,,
