,,,,,,
,,,,,,
,,,PFR,CSTR,,
,Mole Flows,kmol/hr,505.435162,522.6698214,,
,BENZENE,kmol/hr,205.9125224,223.3350192,,
,BUTANE,kmol/hr,75,75,,
,CUMENE,kmol/hr,93.61011713,75.99978286,,
,PROPY-01,kmol/hr,130.435162,147.6698214,,
,P-DII-01,kmol/hr,0.4773604421,0.6651978901,,
,Mole Fractions,,,,,
,BENZENE,,0.4073965128,0.4272965649,,
,BUTANE,,0.1483869854,0.1434940319,,
,CUMENE,,0.1852069744,0.1454068702,,
,PROPY-01,,0.258065073,0.2825298407,,
,P-DII-01,,0.0009444543594,0.001272692363,,
,,,,,,
,,,,,,
,Row/Case,Status,Description,"VARY   1
BENZENE 
MIXED   
TOTAL MO
LEFLOW  
KMOL/HR 
","CUMPUR  





","CUMFLOW 




KMOL/HR 
"
,1,OK,,210,0.857047774,3.76070553
,2,OK,,211,0.895148899,5.3256065
,3,OK,,212,0.917534812,6.90150645
,4,OK,,213,0.932247721,8.48590398
,5,OK,,214,0.94260497,10.073331
,6,OK,,215,0.950360882,11.6732422
,7,OK,,216,0.956359474,13.2806455
,8,OK,,217,0.961137273,14.8953975
,9,OK,,218,0.965032643,16.5173873
,10,OK,,219,0.968270591,18.1471368
,11,OK,,220,0.971002127,19.782836
,12,OK,,221,0.973339785,21.4261465
,13,OK,,222,0.975362694,23.0766269
,14,OK,,223,0.977130498,24.7342164
,15,OK,,224,0.978688762,26.3989814
,16,OK,,225,0.980072801,28.0709848
,17,OK,,226,0.981310494,29.7504286
,18,OK,,227,0.982423892,31.4372029
,19,OK,,228,0.983430998,33.1315477
,20,OK,,229,0.984346433,34.833581
,21,OK,,230,0.985182258,36.5434458
,22,OK,,231,0.985948504,38.2612949
,23,OK,,232,0.986653576,39.9872819
,24,OK,,233,0.987304573,41.7215651
,25,OK,,234,0.987907649,43.4647734
,26,OK,,235,0.988467519,45.2153366
,27,OK,,236,0.988989171,46.975442
,28,OK,,237,0.989476221,48.7444269
,29,OK,,238,0.989932008,50.5224184
,30,OK,,239,0.990359442,52.309513
,31,OK,,240,0.990760563,54.1055181
,32,OK,,241,0.991138648,55.910994
,33,OK,,242,0.991495158,57.7256976
,34,OK,,243,0.991831858,59.5496675
,35,OK,,244,0.99215029,61.3826906
,36,OK,,245,0.992451845,63.224648
,37,OK,,246,0.99273776,65.0752892
,38,OK,,247,0.993009136,66.9342544
,39,OK,,248,0.993266956,68.8010475
,40,OK,,249,0.99351209,70.6749395
,41,OK,,250,0.993745328,72.5551644
,42,OK,,251,0.993967349,74.4404822
,43,OK,,252,0.994178753,76.3293492
,44,OK,,253,0.994380053,78.2197383
,45,OK,,254,0.994572504,80.1174862
,46,OK,,255,0.994755641,82.0126425
,47,OK,,256,0.994928058,83.879452
,48,OK,,257,0.995092507,85.7445668
,49,OK,,258,0.995247197,87.5760986
,50,OK,,259,0.995393513,89.3880766
,51,OK,,260,0.995529342,91.1464555
,52,OK,,261,0.995655936,92.8758896
,53,OK,,262,0.995772102,94.5956063
,54,OK,,263,0.990626029,94.9558576
,55,OK,,264,0.98416,94.9681673
,56,OK,,265,0.977752612,94.9795003
,57,OK,,266,0.971388083,94.9898883
,58,OK,,267,0.965065662,94.9993634
,59,OK,,268,0.958861439,95.007867
,60,OK,,269,0.952616231,95.0156087
,61,OK,,270,0.946423466,95.022518
,62,OK,,271,0.940276645,95.0286181
,63,OK,,272,0.93417565,95.0339337
,64,OK,,273,0.928120965,95.038487
,65,OK,,274,0.922113008,95.0422959
,66,OK,,275,0.916222582,95.045357
,67,OK,,276,0.910299757,95.0477573
,68,OK,,277,0.904431786,95.049478
,69,OK,,278,0.898612245,95.0505379
,70,OK,,279,0.892827885,95.0509548
,71,OK,,280,0.887104677,95.0507461
,72,OK,,281,0.881429812,95.0499281
,73,OK,,282,0.875803322,95.0485166
,74,OK,,283,0.870303538,95.0465501
,75,OK,,284,0.864752953,95.0440023
,76,OK,,285,0.859269472,95.0409033
,77,OK,,286,0.853834569,95.0372676
,78,OK,,287,0.848447736,95.0331078
,79,OK,,288,0.843108817,95.0284364
,80,OK,,289,0.837819456,95.0232601
,81,OK,,290,0.832575934,95.0176002
,82,OK,,291,0.827379564,95.0114628
,83,OK,,292,0.822230255,95.0048588
,84,OK,,293,0.817127743,94.9977982
,85,OK,,294,0.812071748,94.9902908
,86,OK,,295,0.807061977,94.9823462
,87,OK,,296,0.80209812,94.9739735
,88,OK,,297,0.79717985,94.9651815
,89,OK,,298,0.792306962,94.9560258
,90,OK,,299,0.787478882,94.9464183
,91,OK,,300,0.782760548,94.9365277
,92,OK,,301,0.778007453,94.9261421
,93,OK,,302,0.773310503,94.9153751
,94,OK,,303,0.768657268,94.9042357
,95,OK,,304,0.764047157,94.8927306
,96,OK,,305,0.759501684,94.880924
,97,OK,,306,0.754975624,94.8687074
,98,OK,,307,0.750491944,94.8561448
,99,OK,,308,0.746049819,94.8432419
,100,OK,,309,0.741648846,94.8300047
,101,OK,,310,0.737288627,94.8164388
,102,OK,,311,0.732968757,94.8025498
,103,OK,,312,0.728688833,94.7883432
,104,OK,,313,0.724448451,94.7738241
,105,OK,,314,0.720247205,94.7589977
,106,OK,,315,0.71608469,94.743869
,107,OK,,316,0.71195983,94.7284532
