,,,,,,,,,,,,,,
,IDEAL,,,,,NRTL,,,,,PENG-ROB,,,
,,,,,,,,,,,,,,
,Mole Flows,kmol/hr,5500,2794.216715,,Mole Flows,kmol/hr,5500,2794.216715,,Mole Flows,kmol/hr,5500,2784.902454
,H2,kmol/hr,4081,22.32507274,,H2,kmol/hr,4081,22.32507274,,H2,kmol/hr,4081,8.353680301
,N2,kmol/hr,1358.5,5.608357579,,N2,kmol/hr,1358.5,5.608357579,,N2,kmol/hr,1358.5,0.9512267671
,CH4,kmol/hr,44,44,,CH4,kmol/hr,44,44,,CH4,kmol/hr,44,44
,ARGON,kmol/hr,16.5,16.5,,ARGON,kmol/hr,16.5,16.5,,ARGON,kmol/hr,16.5,16.5
,NH3,kmol/hr,0,2705.783285,,NH3,kmol/hr,0,2705.783285,,NH3,kmol/hr,0,2715.097546
,Mole Fractions,,,,,Mole Fractions,,,,,Mole Fractions,,,
,H2,,0.742,0.007989742749,,H2,,0.742,0.007989742749,,H2,,0.742,0.002999631205
,N2,,0.247,0.002007130495,,N2,,0.247,0.002007130495,,N2,,0.247,0.0003415655604
,CH4,,0.008,0.0157468101,,CH4,,0.008,0.0157468101,,CH4,,0.008,0.01579947619
,ARGON,,0.003,0.005905053789,,ARGON,,0.003,0.005905053789,,ARGON,,0.003,0.00592480357
,NH3,,0,0.9683512629,,NH3,,0,0.9683512629,,NH3,,0,0.9749345235
